loan_amnt,term,annual_inc,dti,fico_score,inq_last_6mths,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,emp_length,loan_to_income,fico_dti_ratio,credit_age_proxy,delinq_pub_sum,log_annual_inc,log_revol_bal,home_ownership,purpose,verification_status,addr_state,llm_employment_stability,llm_income_confidence,llm_debt_stress_signal,llm_repayment_intent_score,llm_urgency_flag,llm_financial_literacy_signal,llm_purpose_clarity,llm_future_orientation,loan_idx,y
-0.059061106,-0.27391177,0.05124142,0.03017108,0.1998972,-0.035821635,0.003251925,-0.06433149,0.0040241685,0.024562307,0.03569779,-0.056241315,-0.03358584,-0.047405146,0.07178111,-0.10193093,-0.048225846,0.043666676,-0.0061028977,-0.17773083,0.12280797,0.06295398,0.012797251,-0.0197546,0.050147668,-0.0018980796,0.017216034,0.081155874,0.07505938,-0.08848116,-0.029277772,1962,0
-0.034425173,-0.24117728,0.03873903,0.002433693,0.14167029,0.01968256,0.0011505663,0.03297467,0.0031387778,0.01164486,0.043407332,0.033671327,0.13063219,-0.09311627,0.053987894,0.2096468,0.020166814,0.013099501,-0.009848771,-0.07302102,0.001248555,0.037989557,0.04261132,-0.016664438,0.025919983,0.06510601,0.02126698,0.12879413,-0.08150058,0.07045721,0.02872882,393,0
-0.031499777,-0.16956887,0.021535538,0.046626877,0.15953037,0.023561507,0.0021637226,0.030336337,0.0015188801,0.047893643,-0.017352516,-0.0011847704,-0.013977686,-0.2973041,0.050198972,-0.4377305,-0.023910651,0.0022719072,-0.0021854828,-0.092240535,0.008522741,0.063669264,-0.024520617,0.0041343044,-0.027925685,-0.06527371,0.009248461,0.2620603,0.18435772,0.039735608,-0.010963407,4842,1
0.14448148,0.64100593,0.06873108,-0.0448632,0.1834114,-0.010884011,6.783579e-06,-0.08287763,-0.011277719,-0.0034702898,0.009358157,0.01315099,0.049512256,0.15100382,0.025904648,0.074555844,-0.023972353,0.0049562035,0.022638401,0.16461524,-0.0065699816,0.05075557,-0.08554525,-0.023933677,0.3217895,0.026449319,0.06544254,-0.08279581,0.025349062,0.022641592,-0.097472504,4866,1
-0.010997118,-0.24522978,-0.065189436,-0.018920572,0.10166882,-0.030248934,0.0008308216,-0.1550401,6.445509e-05,-0.22392248,0.008786012,0.0025699805,0.032426346,-0.042254426,-0.10302581,-0.28749415,0.015500932,-0.0066834665,-0.046920177,0.30646276,-0.00089143263,0.03862266,-0.15051661,-0.012510642,-0.13933694,0.052720677,0.03810331,-0.271146,0.16864322,-0.035728823,-0.03476979,1755,0
-0.06157671,-0.1560868,-0.0023844005,0.024931442,0.29583293,-0.040658116,0.0021404875,0.14769687,0.00028948885,-0.21771477,0.01078299,-0.03079193,-0.07004006,-0.20123222,0.04265894,-0.10870506,0.0110262595,-0.018671898,-0.028693726,0.25230345,0.12390285,0.04177001,0.1328204,0.054479618,-0.16721362,0.05423539,0.038195077,-0.04433582,0.1218541,0.12728542,0.013792943,2515,1
0.15671158,-0.24615578,-0.047062576,-0.018613068,-0.33710024,0.02830261,-6.404317e-05,-0.08082594,0.0005153103,-0.08069758,0.017231027,-0.00087771215,-0.10727807,0.14889383,0.023490142,-0.026321795,0.0051281545,-0.006204171,-0.01446125,-0.22143495,-0.010605944,0.043284632,-0.0018930286,0.06044794,0.08104218,0.037569735,-0.11850248,0.28710994,-0.049620226,0.045864224,0.08660905,3585,1
0.018284263,-0.16843262,0.015343448,0.06819235,-0.3662422,-0.02904304,0.0012456228,0.10864773,0.00029964896,-0.14204112,0.022157101,-0.014581397,0.14896059,-0.11217528,0.08279861,0.13417809,0.013462538,-0.01583091,-0.008478522,1.7370097e-05,-0.058294702,-0.14919847,-0.021273216,0.10459491,0.033820942,0.06792427,-0.028156169,-0.041193,-0.0038478614,0.016515031,0.14237171,4315,1
-0.03530853,-0.25523162,0.0558808,0.036506258,-0.1174953,0.022672016,0.0024223437,-0.06936512,-0.0020622532,-0.28008917,0.048054114,0.06412474,0.13088006,0.054716077,0.024104945,-0.02061404,-0.018942762,0.010183569,-0.017513998,0.16000085,-0.0022763882,0.06743896,0.1334244,-0.041781075,0.06962206,-0.01391616,0.045174547,0.2595589,0.009379639,0.10445727,0.0074778544,4966,1
-0.033255752,-0.29236105,0.010024156,-0.082958736,-0.32223392,-0.033922676,-0.00041810423,-0.021665785,0.005151973,0.009407603,-0.09727438,0.027082875,0.15924929,0.22546421,-0.122117445,-0.2881167,0.019748705,0.0016560899,0.005461537,-0.108504444,-0.07239472,0.07653747,-0.05483773,0.11567906,0.014897711,-0.13911279,-0.037422735,-0.39455783,-0.15522511,-0.041235656,0.044587687,2099,0
